external_id,name,city,country,lat,lng,type,criticality,headcount
,Bengaluru,Bengaluru,India,12.9716,77.5946,office,tier-1,
,Hyderabad,Hyderabad,India,17.3850,78.4867,office,tier-2,
,Pune,Pune,India,18.5204,73.8567,office,tier-2,
,Chennai,Chennai,India,13.0827,80.2707,office,tier-2,
,Mumbai,Mumbai,India,19.0760,72.8777,office,tier-2,
,Kolkata,Kolkata,India,22.5726,88.3639,office,tier-3,
,Noida,Noida,India,28.5355,77.3910,office,tier-2,
,Kochi,Kochi,India,9.9312,76.2673,office,tier-3,
,Coimbatore,Coimbatore,India,11.0168,76.9558,office,tier-3,
,Dubai,Dubai,United Arab Emirates,25.2048,55.2708,office,tier-2,
,Riyadh,Riyadh,Saudi Arabia,24.7136,46.6753,office,tier-3,
,London,London,United Kingdom,51.5074,-0.1278,office,tier-2,
,East Brunswick,East Brunswick,United States,40.4279,-74.4159,office,tier-2,
