external_id,name,city,country,lat,lng,type,criticality,headcount
,Bengaluru - Sarjapur Road (SJP1 Corporate Office),Bengaluru,India,12.9094,77.6870,campus,tier-1,
,Bengaluru - Sarjapur Road SEZ (SJP2),Bengaluru,India,12.9094,77.6870,campus,tier-2,
,Bengaluru - Electronic City Phase 1 (EC4),Bengaluru,India,12.8452,77.6602,campus,tier-2,
,Bengaluru - Electronic City Phase 1 SEZ (EC5),Bengaluru,India,12.8452,77.6602,campus,tier-2,
,Bengaluru - Kodathi SEZ (Sarjapur Road),Bengaluru,India,12.8880,77.7180,campus,tier-2,
,Mysore - Metagalli Industrial Area,Mysore,India,12.3374,76.6142,campus,tier-2,
,Manjakkudi - Swami Dayananda College,Manjakkudi,India,10.9575,79.4711,office,tier-3,
,Chennai - Sholinganallur (CDC2),Chennai,India,12.9010,80.2279,delivery,tier-2,
,Chennai - Sholinganallur ELCOT SEZ (CDC5),Chennai,India,12.9010,80.2279,delivery,tier-2,
,Coimbatore - Vilankurichi ELCOT SEZ,Coimbatore,India,11.0480,77.0000,delivery,tier-2,
,Kochi - Infopark SEZ Kakkanad,Kochi,India,10.0104,76.3621,delivery,tier-2,
,Hyderabad - Manikonda (Gachibowli SEZ),Hyderabad,India,17.4020,78.3760,delivery,tier-2,
,Hyderabad - Gopanpally SEZ,Hyderabad,India,17.4750,78.3140,delivery,tier-2,
,Visakhapatnam - Rama Talkies Road,Visakhapatnam,India,17.7325,83.2960,delivery,tier-2,
,Kolkata - Salt Lake Sector V (KDC1),Kolkata,India,22.5760,88.4310,delivery,tier-2,
,Kolkata - Salt Lake Sector V (KDC2),Kolkata,India,22.5760,88.4310,delivery,tier-2,
,Kolkata - Salt Lake Sector V (KDC3),Kolkata,India,22.5760,88.4310,delivery,tier-2,
,Bhubaneswar - Infocity IDCO IT SEZ,Bhubaneswar,India,20.3490,85.8180,delivery,tier-2,
,Greater Noida - Knowledge Park IV,Greater Noida,India,28.4744,77.5030,campus,tier-2,
,Noida - Sector 127 Tech Boulevard,Noida,India,28.5180,77.3630,office,tier-2,
,Gurugram - Candor Tech Space Sector 48 (Tikri),Gurugram,India,28.4118,77.0356,delivery,tier-2,
,Gurugram - Udyog Vihar Phase III,Gurugram,India,28.5025,77.0870,office,tier-2,
,Jaipur - Mahindra World City SEZ,Jaipur,India,26.7250,75.8900,delivery,tier-2,
,Pune - Hinjewadi Phase 1 (PDC1),Pune,India,18.5913,73.7389,campus,tier-2,
,Pune - Hinjawadi Phase 2 (PDC2),Pune,India,18.5960,73.7130,campus,tier-2,
,Mumbai - Powai Kensington SEZ,Mumbai,India,19.1187,72.9050,delivery,tier-2,
,Navi Mumbai - Airoli,Navi Mumbai,India,19.1590,72.9960,delivery,tier-2,
,Dubai - One Central DWTC,Dubai,United Arab Emirates,25.2255,55.2870,office,tier-2,
,Abu Dhabi - Airport Road (Regus),Abu Dhabi,United Arab Emirates,24.4539,54.3773,office,tier-3,
,Riyadh - King Fahad Road Al Rahmania,Riyadh,Saudi Arabia,24.7180,46.6540,office,tier-2,
,Al Jubail - Majd Square,Al Jubail,Saudi Arabia,27.0046,49.6606,office,tier-3,
,Dhahran - AK Tower King Fahad Road,Dhahran,Saudi Arabia,26.2886,50.1140,office,tier-3,
,Doha - The Business Park Airport Road,Doha,Qatar,25.2560,51.5450,office,tier-3,
,Doha - Al Fardan Office Towers West Bay,Doha,Qatar,25.3200,51.5290,office,tier-3,
,Muscat - Airport Heights (Regus),Muscat,Oman,23.5930,58.2900,office,tier-3,
,Manama - Al Seef,Manama,Bahrain,26.2340,50.5420,office,tier-3,
,London - 255 Blackfriars Road,London,United Kingdom,51.5030,-0.1050,office,tier-2,
,Reading - Kings Court Kings Road,Reading,United Kingdom,51.4530,-0.9660,office,tier-2,
,Aberdeen - Marischal Square (Spaces),Aberdeen,United Kingdom,57.1490,-2.0980,office,tier-3,
,Dublin - Grand Canal Docklands,Dublin,Ireland,53.3440,-6.2400,office,tier-3,
,Amsterdam - Parnassusweg (Zuidas),Amsterdam,Netherlands,52.3390,4.8720,office,tier-3,
,Machelen - De Kleetlaan (Regus),Machelen,Belgium,50.8940,4.4460,office,tier-3,
,Luxembourg - Boulevard Royal,Luxembourg,Luxembourg,49.6120,6.1280,office,tier-3,
,Puteaux - La Defense,Puteaux,France,48.8920,2.2380,office,tier-2,
,Frankfurt am Main - Senckenberganlage,Frankfurt am Main,Germany,50.1180,8.6560,office,tier-2,
,Stuttgart - Epplestrasse (Moehringen),Stuttgart,Germany,48.7280,9.1490,office,tier-2,
